"Reference","Value","Datasheet","Footprint","Qty","Prix/U"
"BB833","~","https://www.farnell.com/datasheets/1835977.pdf","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","0,172 €"
"C1","15p","https://www.yageo.com/en/Chart/Download/pdf/AC0805JRNPO9BN150","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","0,0742 €"
"C2","10p","https://www.yageo.com/en/Chart/Download/pdf/AC0805JRNPO0BN100","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","0,067 €"
"C3","1u","https://4donline.ihs.com/images/VipMasterIC/IC/YAGO/YAGO-S-A0017891388/YAGO-S-A0017891388-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","0,0982 €"
"C4","1u","https://4donline.ihs.com/images/VipMasterIC/IC/YAGO/YAGO-S-A0017891388/YAGO-S-A0017891388-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","0,0982 €"
"C5","10u","https://search.kemet.com/component-documentation/download/specsheet/C1206C106J4RACTU","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","1,230 €"
"C6","10u","https://search.kemet.com/component-documentation/download/specsheet/C1206C106J4RACTU","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","1,230 €"
"C7","10u","https://search.kemet.com/component-documentation/download/specsheet/C1206C106J4RACTU","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","1,230 €"
"C8","10u","https://search.kemet.com/component-documentation/download/specsheet/C1206C106J4RACTU","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","1,230 €"
"C9","10u","https://search.kemet.com/component-documentation/download/specsheet/C1206C106J4RACTU","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","1,230 €"
"C10","10u","https://search.kemet.com/component-documentation/download/specsheet/C1206C106J4RACTU","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","1,230 €"
"J1","USB_OTG","https://www.farnell.com/datasheets/2697485.pdf","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","1","1,000 €"
"J2","Conn_Coaxial","https://4donline.ihs.com/images/VipMasterIC/IC/AMPH/AMPHS06465/AMPHS06465-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Connector_Coaxial:SMA_Molex_73251-2200_Horizontal","1","6,940 €"
"L1","10u","http://www.farnell.com/datasheets/3006832.pdf","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1","0,214 €"
"R1","0","https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMPS00166/SCMPS00166-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","0,015 €"
"R2","22","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","0,016 €"
"R3","22","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","0,016 €"
"R4","5k","https://www.farnell.com/datasheets/3937397.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","0,015 €"
"R5","5k","https://www.farnell.com/datasheets/3937397.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","0,015€"
"R6","0","https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMPS00166/SCMPS00166-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","0,015 €"
"SW1","SW_Push","https://www.farnell.com/datasheets/3148632.pdf","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","1","0,937 €"
"SW2","SW_Push","https://www.farnell.com/datasheets/3148632.pdf","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","1","0,937 €"
"TP1","TestPoint","~","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1",""
"TP2","TestPoint","~","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1",""
"TP3","TestPoint","~","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1",""
"TP4","TestPoint","~","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1",""
"U1","~","https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","Package_QFP:TQFP-44_10x10mm_P0.8mm","1","5,250 €"
"U2","","https://www.farnell.com/datasheets/630314.pdf","Package_SO:SOIC-8-N7_3.9x4.9mm_P1.27mm","1","0,353 €"
"Y1","16MHz","https://www.farnell.com/datasheets/3153929.pdf","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering","1","0,258 €"
